Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,28.000000,28.450001,27.370001,27.799999,27.282988,47479600
2020-03-10,29.500000,29.700001,27.580000,28.490000,27.960155,44566300
2020-03-11,27.799999,28.139999,25.030001,26.170000,25.683302,48242100
2020-03-12,23.200001,24.559999,22.410000,23.600000,23.161102,58487200
2020-03-13,26.940001,27.180000,23.650000,26.209999,25.722559,89695700
2020-03-16,23.500000,25.660000,22.719999,23.799999,23.357382,62416000
2020-03-17,24.510000,26.709999,23.500000,25.200001,24.731346,70493400
2020-03-18,23.969999,24.250000,21.540001,23.450001,23.013889,83737300
2020-03-19,22.770000,23.730000,21.129999,22.850000,22.425043,73652600
2020-03-20,23.389999,23.969999,21.600000,22.049999,21.639927,73398600
2020-03-23,22.260000,22.490000,20.000000,20.520000,20.138380,53457900
2020-03-24,21.700001,23.280001,21.500000,22.500000,22.081554,51467700
2020-03-25,22.230000,24.730000,22.010000,23.600000,23.161102,43889700
2020-03-26,24.230000,24.820000,23.719999,24.250000,23.799013,50777700
2020-03-27,23.020000,24.020000,22.510000,22.969999,22.542814,41981300
2020-03-30,23.110001,24.389999,22.830000,24.110001,23.661617,30225500
2020-03-31,23.950001,24.250000,22.809999,23.090000,22.660589,40625200
2020-04-01,22.219999,22.379999,21.190001,21.400000,21.015669,44343800
2020-04-02,21.379999,22.000000,21.150000,21.500000,21.113865,39156300
2020-04-03,21.420000,21.480000,20.010000,20.660000,20.288958,37393100
2020-04-06,22.139999,22.680000,21.889999,22.180000,21.781660,39305700
2020-04-07,23.500000,23.879999,22.920000,23.000000,22.586929,38049700
2020-04-08,23.010000,24.389999,22.940001,24.180000,23.745739,40947000
2020-04-09,24.459999,24.700001,23.500000,23.500000,23.077948,37307000
2020-04-13,23.450001,24.000000,23.020000,24.000000,23.568974,21602700
2020-04-14,24.459999,25.150000,24.299999,24.299999,23.863581,33766100
2020-04-15,23.850000,24.480000,23.370001,23.400000,22.979744,34845100
2020-04-16,23.700001,23.820000,22.799999,22.809999,22.400345,31071300
2020-04-17,23.440001,23.610001,22.610001,23.219999,22.802980,25164100
2020-04-20,22.719999,22.969999,22.500000,22.639999,22.233397,28583800
2020-04-22,22.400000,23.129999,22.209999,22.370001,21.968246,48051200
2020-04-23,22.660000,22.740000,21.840000,22.049999,21.653994,41455100
2020-04-24,21.740000,21.820000,20.370001,20.879999,20.505005,68819700
2020-04-27,21.540001,22.139999,21.100000,21.570000,21.182611,38416700
2020-04-28,22.980000,23.610001,22.590000,23.350000,22.930645,58267500
2020-04-29,24.000000,24.120001,23.160000,23.660000,23.235083,31532100
2020-04-30,22.590000,23.330000,22.459999,22.770000,22.361063,46293100
2020-05-04,21.950001,22.090000,21.780001,21.889999,21.511036,32042300
2020-05-05,22.200001,23.370001,21.910000,22.700001,22.307016,51925500
2020-05-06,22.600000,22.780001,22.000000,22.240000,21.854977,29178900
2020-05-07,22.379999,22.480000,21.129999,21.440001,21.068829,52200500
2020-05-08,22.020000,22.770000,21.900000,22.320000,21.933596,35745100
2020-05-11,22.170000,23.030001,22.170000,22.379999,21.992550,38216500
2020-05-12,22.510000,22.660000,21.590000,21.610001,21.235882,43248200
2020-05-13,21.740000,21.940001,21.200001,21.600000,21.226059,34711100
2020-05-14,21.309999,22.590000,20.730000,22.549999,22.159609,61771700
2020-05-15,22.500000,22.770000,21.629999,21.629999,21.255539,37767500
2020-05-18,22.450001,22.940001,22.010000,22.670000,22.277533,49600900
2020-05-19,22.629999,22.719999,21.610001,21.690001,21.314503,40881800
2020-05-20,21.930000,21.950001,21.360001,21.600000,21.226059,41396000
2020-05-21,21.719999,22.840000,21.709999,22.840000,22.444592,60803900
2020-05-22,22.600000,23.350000,22.209999,22.959999,22.562511,51255200
2020-05-25,23.910000,24.190001,23.389999,23.959999,23.545198,28158200
2020-05-26,24.330000,24.420000,22.860001,23.010000,22.611647,53066900
2020-05-27,23.639999,23.730000,23.160000,23.730000,23.319178,36440100
2020-05-28,23.490000,24.049999,23.309999,23.309999,22.906450,23918500
2020-05-29,23.180000,23.299999,22.709999,23.040001,22.641130,53968500
2020-06-01,22.830000,23.850000,22.700001,23.660000,23.265539,39221300
2020-06-02,24.000000,25.299999,23.830000,25.250000,24.829031,57810700
2020-06-03,26.299999,26.770000,25.799999,25.920000,25.487862,58718200
2020-06-04,25.770000,26.830000,25.480000,26.670000,26.225363,44336600
2020-06-05,28.160000,28.700001,27.180000,27.260000,26.805523,64665500
2020-06-08,27.610001,28.480000,27.510000,28.360001,27.887184,31763300
2020-06-09,27.570000,28.240000,27.260000,27.799999,27.336519,51638000
2020-06-10,28.110001,28.170000,26.480000,26.590000,26.146690,49244800
2020-06-12,25.910000,26.370001,25.620001,26.059999,25.625530,54204000
2020-06-15,25.100000,25.990000,25.030001,25.450001,25.025700,37413100
2020-06-16,26.500000,26.570000,25.700001,26.180000,25.743525,38011200
2020-06-17,26.180000,26.940001,26.150000,26.510000,26.068024,35792100
2020-06-18,26.500000,27.910000,26.320000,27.549999,27.090687,53971500
2020-06-19,28.100000,28.240000,27.580000,28.090000,27.621685,62091700
2020-06-22,28.040001,28.240000,26.910000,27.219999,26.766191,29284200
2020-06-23,27.700001,27.750000,26.559999,26.860001,26.412191,59605500
2020-06-24,26.790001,26.920000,25.600000,25.840000,25.409193,57364300
2020-06-25,26.030001,26.330000,25.510000,26.150000,25.714027,46375100
2020-06-26,25.709999,26.219999,25.540001,25.709999,25.281364,39663400
2020-06-29,25.900000,26.520000,25.750000,26.480000,26.038528,30767300
2020-06-30,26.219999,26.309999,25.450001,25.450001,25.025700,45729200
2020-07-01,25.600000,26.209999,25.540001,26.100000,25.679996,39135400
2020-07-02,26.500000,27.250000,26.410000,26.549999,26.122753,41598300
2020-07-03,26.389999,26.690001,26.200001,26.500000,26.073563,10241400
2020-07-06,27.120001,27.850000,26.850000,27.730000,27.283766,29369300
2020-07-07,27.430000,27.709999,26.320000,26.370001,25.945652,64917300
2020-07-08,26.650000,27.070000,26.500000,26.940001,26.506477,33988600
2020-07-09,27.020000,27.170000,26.580000,26.950001,26.516319,43480000
2020-07-10,26.950001,27.309999,26.620001,27.200001,26.762295,24056400
2020-07-13,27.450001,27.549999,26.799999,26.799999,26.368734,24781700
2020-07-14,26.750000,27.420000,26.440001,27.250000,26.811487,28445300
